course_code,prof_name,rating,tags
COMS 4111,John Smith,4.8,"very clear, organized, helpful"
COMS 4111,Jane Lee,3.9,"hard grading, heavy workload"
COMS 4156,David Wang,4.6,"engaging, project-focused, practical"
COMS 4156,Sarah Chen,4.2,"knowledgeable, fair grading"
COMS 4701,Michael Brown,4.7,"excellent lecturer, inspiring"
COMS 4701,Emily Davis,4.0,"clear explanations, tough exams"
COMS 6111,Robert Johnson,4.5,"deep knowledge, accessible"
COMS 6156,Lisa Anderson,4.4,"industry experience, real-world projects"
COMS 6701,James Wilson,4.9,"brilliant, challenging, rewarding"
COMS 4995,Maria Garcia,4.3,"flexible, supportive, innovative"
IEOR 4150,Thomas Martinez,4.6,"practical examples, clear teaching"
IEOR 4150,Jennifer Taylor,4.1,"thorough, detailed"
MECH 4210,William Anderson,4.5,"hands-on, patient"
MECH 4210,Patricia Thomas,4.0,"solid fundamentals"
ELEN 4810,Christopher Moore,4.7,"cutting-edge content, enthusiastic"
ELEN 4810,Barbara White,4.2,"well-structured, fair"
COMS 4170,Richard Harris,4.4,"creative assignments, helpful feedback"
COMS 4170,Susan Martin,3.8,"interesting topics, unclear expectations"
COMS 4995,Daniel Thompson,4.6,"research-oriented, mentoring"
IEOR 4540,Nancy Garcia,4.8,"excellent teaching, approachable"



